Neighborhood,Pincode,City,Latitude,Longitude
"Antagarhi , Atari , Badiyan , Bazargaron , Beerpur , Bhagwantpur , Bharwara , Gahdon , Gopramau , Kharsara , Mall , Mawai Khurd , Munnu Khera , Nabipanah , Pateona , Raghunathpur , Ranipara , Salehnagar , Thari , Thawar , Umrawal ",226104,Lucknow,26.8533758,81.0345102
"Arjunganj , Bakkash , Barauna , Bhadrukh , Bijnaur , C B Lines , Chakganjaria , Chandrawal , D S Bazar , Dilkusha , Hasanpur Keoli , Kharika , Mati , Military Hospital , Nilmatha , Shia Lines , Topkhana Bazar , Utrathia ",226002,Lucknow,26.707299,80.9309475
"Asti , Bakshi Ka Talab , Baurumau , Bhauli , Jagdishpur , Kamlabad Badauli , Kathwara , Kotwa , Sairpur , Saraura ",226201,Lucknow,27.035562149999997,80.91605986447713
"Barwalia , Bhadeswa , Bhilampur , Deoti , Jabrauli , Jaitikhera , Kalli Pacchim , Kankaha , Kusmaura , Mohanlalganj , Mohari Khurd , Purseni , Sarai Gudauli , Sisendi ",226301,Lucknow,26.67277155,81.06942173734653
"Batha Sabauli , Jankipuram , Madiyaon ",226021,Lucknow,26.9326839,80.9396394
"Bhadwana , Dhendhemau , Dilawarnagar , Kahla , Kakrabad , Kasmandi Kalan , Kasmandi Khurd , Katauli , Mahmoodnagar , Malihabad , Singhrawa ",226102,Lucknow,26.9596844,80.6678072
"D M Road , Daliganj , Diguria , Ghaila , Lonikatra , Maharishi Vidya Mandir , Navinmandi , Niralanagar , Triveni Nagar ",226020,Lucknow,26.8753418,80.9275723
"Daulatpur , Gaunda , Jamolia , Jindaur , Mawai Kalan , Rahimabad , Rusena , Sahijana , Suspen ",226103,Lucknow,26.99776,80.604058
"Dayalpur , Mastipur , Meeraknagar , Nigohan , Utrawan ",226302,Lucknow,26.5620381,81.0304534
"Ghazipur , Hal , Indira Nagar , Indiranagar Sec-14 , Indiranagar Sec-18 , Indiranagar Sec-21 , Narain Nagar , Sarvoday Nagar , Sec-B Indira Nagar , Sec-d Indiranagar ",226016,Lucknow,25.4047533,83.6165903
"Gomtinagar , Gomtinagar Vistar , Laulai , Malesemau , Vineet Khand , Vishwas Khand ",226010,Lucknow,26.8619562,80.98781553859962
"H E School , M N Colony , Mahanagar , Sant Market ",226006,Lucknow,26.8829,80.9469
"Kalyanpur , Vikas Nagar ",226022,Lucknow,26.9032068,80.9737457
"Nadwa , New Hyderabad , R P Line ",226007,Lucknow,26.8644647,80.93218673104445
Sgpgi ,226014,Lucknow,26.7464155,80.9360624
